run_id,model_arc,train_dataset,val_dataset,num_classes,train_trans,val_trans,train_ndata,val_ndata,epochs,max_lr,wd,batch_size,base_epochs,iters/epoch,iters,processed_ndata,ndata_per_class,div,ensembles,scale_ch,num_params,criterion,optimizer,scheduler,step,epoch,lr,train_loss,train_acc,val_loss,val_acc,dur_total_core,dur_total_core_fmt,dur_train_core,dur_train_core_fmt,dur_total,dur_total_fmt,dur_train,dur_train_fmt,progress
run_2025-12-16_15-51-51_264974,mobilenet_v2,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.05,128,,391,78200,10000000,500.0,1,1,1.0,2351972,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.3277975775241852,last: 0.89482,last: 1.3124538619041444,last: 0.6881,last: 932.5959062576294,last: 15.5m,last: 908.1997590065002,last: 15.1m,last: 2330.996283531189,last: 38.8m,last: 2191.338119029999,last: 36.5m,last: 100.0%
run_2025-12-16_15-51-52_283444,mobilenet_v2,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.05,128,,391,78200,10000000,500.0,2,4,0.5,2579472,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.5209855713653564,last: 0.84442,last: 1.2714947824478149,last: 0.6625,last: 1801.7088782787323,last: 30.0m,last: 1761.1716487407684,last: 29.4m,last: 2326.7584252357483,last: 38.8m,last: 2184.676525592804,last: 36.4m,last: 100.0%
run_2025-12-16_15-51-52_517585,mobilenet_v2,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.05,128,,391,78200,10000000,500.0,4,16,0.25,3035072,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.7125571320152283,last: 0.79636,last: 1.2910415309906005,last: 0.6463,last: 6105.250504016876,last: 1.7h,last: 6034.456647634506,last: 1.7h,last: 6236.4349546432495,last: 1.7h,last: 6092.187170982361,last: 1.7h,last: 100.0%
run_2025-12-16_15-51-52_714051,mobilenet_v2,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",50000,10000,200,0.005,0.05,128,,391,78200,10000000,500.0,8,64,0.125,3948672,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 1.0930309475326538,last: 0.69734,last: 1.4319021963119507,last: 0.6037,last: 11561.84057211876,last: 3.2h,last: 11430.600177288055,last: 3.2h,last: 11645.26426911354,last: 3.2h,last: 11495.641275405884,last: 3.2h,last: 100.0%
run_2025-12-16_15-51-52_926470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_2025-12-16_15-51-53_087809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
run_2025-12-16_15-51-53_109734,mobilenet_v2,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",20000,10000,200,0.005,0.05,128,,157,31400,4000000,200.0,2,4,0.5,2579472,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.12795391528606415,last: 0.9737,last: 2.2544204555511476,last: 0.5464,last: 834.8804636001587,last: 13.9m,last: 794.1887264251709,last: 13.2m,last: 1064.8968617916107,last: 17.7m,last: 923.8233070373535,last: 15.4m,last: 100.0%
run_2025-12-16_15-51-53_257593,mobilenet_v2,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",20000,10000,200,0.005,0.05,128,,157,31400,4000000,200.0,1,1,1.0,2351972,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.08419790329933166,last: 0.9794,last: 2.3859084747314454,last: 0.5727,last: 433.45512318611145,last: 7.2m,last: 405.4978446960449,last: 6.8m,last: 1058.8101587295532,last: 17.6m,last: 915.692479133606,last: 15.3m,last: 100.0%
run_2025-12-16_15-52-02_164911,mobilenet_v2,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",20000,10000,200,0.005,0.05,128,,157,31400,4000000,200.0,4,16,0.25,3035072,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.29764772729873656,last: 0.93095,last: 2.0659792167663573,last: 0.529,last: 2555.9185576438904,last: 42.6m,last: 2483.12655878067,last: 41.4m,last: 2663.0653989315033,last: 44.4m,last: 2515.2482516765594,last: 41.9m,last: 100.0%
run_2025-12-16_15-52-02_248776,mobilenet_v2,cifar100_train,cifar100_val,100,"[ToImage(), RandomCrop(size=(32, 32), padding=[4, 4, 4, 4], pad_if_needed=False, fill=0, padding_mode=constant), RandomHorizontalFlip(p=0.5), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]","[ToImage(), ToDtype(scale=True), Normalize(mean=[0.5070751905441284, 0.48654890060424805, 0.44091784954071045], std=[0.26733431220054626, 0.2564384937286377, 0.27615049481391907], inplace=True)]",20000,10000,200,0.005,0.05,128,,157,31400,4000000,200.0,8,64,0.125,3948672,CrossEntropyLoss,AdamW,CosineAnnealingLR,last: 200,last: 200,last: 3.0841879584853064e-7,last: 0.6247036063194275,last: 0.8358,last: 1.8813419567108154,last: 0.5271,last: 4774.004135131836,last: 1.3h,last: 4640.539330482483,last: 1.3h,last: 4824.454112529755,last: 1.3h,last: 4674.157136678696,last: 1.3h,last: 100.0%
